user_id,email,phone,page,duration_sec,event,timestamp
u00000,user0@example.com,13868133775,/profile,106,purchase,2026-02-09T15:41:00Z
u00001,user1@example.com,13870535423,/products,74,click,2026-02-28T08:56:00Z
u00002,user2@example.com,13814748375,/profile,15,purchase,2026-02-11T06:26:00Z
u00003,user3@example.com,13842579730,/cart,239,click,2026-02-21T19:28:00Z
u00004,user4@example.com,13883818743,/cart,153,pageview,2026-02-28T08:09:00Z
u00005,user5@example.com,13825824584,/home,85,pageview,2026-02-07T12:07:00Z
u00006,user6@example.com,13867157374,/checkout,228,pageview,2026-02-06T06:51:00Z
u00007,user7@example.com,13865155765,/home,167,click,2026-02-17T15:34:00Z
u00008,user8@example.com,13899354695,/home,61,purchase,2026-02-23T01:13:00Z
u00009,user9@example.com,13860858163,/cart,24,search,2026-02-18T06:10:00Z
u00010,user10@example.com,13863009149,/home,271,pageview,2026-02-06T05:40:00Z
u00011,user11@example.com,13878720708,/cart,62,pageview,2026-02-08T12:45:00Z
u00012,user12@example.com,13895356742,/cart,284,search,2026-02-11T07:34:00Z
u00013,user13@example.com,13811666115,/products,254,search,2026-02-02T11:09:00Z
u00014,user14@example.com,13822982326,/checkout,189,purchase,2026-02-03T21:43:00Z
u00015,user15@example.com,13864956394,/home,53,click,2026-02-20T23:45:00Z
u00016,user16@example.com,13878136817,/profile,203,click,2026-02-10T15:31:00Z
u00017,user17@example.com,13837259566,/profile,208,click,2026-02-14T17:32:00Z
u00018,user18@example.com,13837104507,/home,168,purchase,2026-02-07T03:05:00Z
u00019,user19@example.com,13815792549,/profile,70,search,2026-02-21T11:07:00Z
u00020,user20@example.com,13827565534,/products,265,click,2026-02-20T14:53:00Z
u00021,user21@example.com,13840241677,/products,35,search,2026-02-12T19:38:00Z
u00022,user22@example.com,13890957715,/profile,53,click,2026-02-09T10:42:00Z
u00023,user23@example.com,13837450727,/products,253,pageview,2026-02-13T21:03:00Z
u00024,user24@example.com,13883264509,/home,101,click,2026-02-02T16:12:00Z
u00025,user25@example.com,13894008738,/cart,139,search,2026-02-01T22:30:00Z
u00026,user26@example.com,13841017737,/products,299,click,2026-02-14T22:39:00Z
u00027,user27@example.com,13868602749,/products,15,purchase,2026-02-21T18:28:00Z
u00028,user28@example.com,13886078402,/checkout,94,search,2026-02-28T15:10:00Z
u00029,user29@example.com,13885354422,/cart,137,pageview,2026-02-01T17:44:00Z
u00030,user30@example.com,13866495150,/profile,161,pageview,2026-02-07T06:13:00Z
u00031,user31@example.com,13818547000,/products,182,pageview,2026-02-03T11:09:00Z
u00032,user32@example.com,13893568368,/products,86,click,2026-02-24T00:17:00Z
u00033,user33@example.com,13833019981,/checkout,118,pageview,2026-02-20T12:01:00Z
u00034,user34@example.com,13863316806,/products,69,click,2026-02-20T20:05:00Z
u00035,user35@example.com,13877429757,/home,65,purchase,2026-02-17T23:49:00Z
u00036,user36@example.com,13862412630,/checkout,164,pageview,2026-02-28T01:36:00Z
u00037,user37@example.com,13866662663,/products,43,pageview,2026-02-23T22:42:00Z
u00038,user38@example.com,13816200807,/products,236,pageview,2026-02-14T21:56:00Z
u00039,user39@example.com,13861098375,/cart,10,search,2026-02-05T23:19:00Z
u00040,user40@example.com,13817142288,/home,88,click,2026-02-05T01:03:00Z
u00041,user41@example.com,13861505867,/products,175,search,2026-02-10T01:55:00Z
u00042,user42@example.com,13871141119,/products,74,pageview,2026-02-21T13:10:00Z
u00043,user43@example.com,13818171623,/profile,132,pageview,2026-02-26T21:33:00Z
u00044,user44@example.com,13897755146,/checkout,136,purchase,2026-02-16T16:15:00Z
u00045,user45@example.com,13864910894,/cart,212,click,2026-02-18T21:43:00Z
u00046,user46@example.com,13843550297,/cart,59,purchase,2026-02-13T04:13:00Z
u00047,user47@example.com,13853322627,/products,219,click,2026-02-10T05:13:00Z
u00048,user48@example.com,13826211822,/products,96,pageview,2026-02-14T13:47:00Z
u00049,user49@example.com,13894783164,/home,231,click,2026-02-21T21:04:00Z
u00050,user50@example.com,13824752218,/cart,168,pageview,2026-02-17T16:34:00Z
u00051,user51@example.com,13871821064,/cart,7,search,2026-02-25T23:07:00Z
u00052,user52@example.com,13833085123,/checkout,89,search,2026-02-13T09:05:00Z
u00053,user53@example.com,13840306167,/cart,177,search,2026-02-03T15:05:00Z
u00054,user54@example.com,13830176623,/products,120,click,2026-02-07T13:01:00Z
u00055,user55@example.com,13824741254,/cart,173,pageview,2026-02-04T22:40:00Z
u00056,user56@example.com,13835719635,/profile,164,pageview,2026-02-28T03:52:00Z
u00057,user57@example.com,13863108287,/cart,49,purchase,2026-02-21T15:17:00Z
u00058,user58@example.com,13853762209,/checkout,183,pageview,2026-02-15T16:22:00Z
u00059,user59@example.com,13828377084,/products,196,pageview,2026-02-04T11:20:00Z
u00060,user60@example.com,13882221606,/products,221,search,2026-02-25T20:43:00Z
u00061,user61@example.com,13829917385,/cart,175,purchase,2026-02-17T07:54:00Z
u00062,user62@example.com,13857864301,/checkout,32,purchase,2026-02-27T05:37:00Z
u00063,user63@example.com,13833721320,/products,101,pageview,2026-02-01T06:15:00Z
u00064,user64@example.com,13829574768,/checkout,101,purchase,2026-02-23T02:45:00Z
u00065,user65@example.com,13823057269,/home,268,click,2026-02-06T05:09:00Z
u00066,user66@example.com,13812381381,/cart,167,search,2026-02-05T06:05:00Z
u00067,user67@example.com,13852231858,/cart,82,purchase,2026-02-26T22:37:00Z
u00068,user68@example.com,13820606608,/checkout,113,purchase,2026-02-18T18:10:00Z
u00069,user69@example.com,13869060044,/profile,278,pageview,2026-02-21T10:10:00Z
u00070,user70@example.com,13899737092,/products,176,click,2026-02-11T19:06:00Z
u00071,user71@example.com,13855462664,/cart,289,purchase,2026-02-20T04:20:00Z
u00072,user72@example.com,13859886331,/home,295,purchase,2026-02-28T16:00:00Z
u00073,user73@example.com,13892624375,/home,247,click,2026-02-02T11:23:00Z
u00074,user74@example.com,13890878437,/cart,117,pageview,2026-02-07T16:28:00Z
u00075,user75@example.com,13846250293,/profile,205,click,2026-02-23T05:05:00Z
u00076,user76@example.com,13840615404,/products,231,purchase,2026-02-26T19:14:00Z
u00077,user77@example.com,13820025380,/profile,170,search,2026-02-28T20:23:00Z
u00078,user78@example.com,13861958735,/cart,99,purchase,2026-02-17T20:05:00Z
u00079,user79@example.com,13879169840,/cart,27,purchase,2026-02-21T13:08:00Z
u00080,user80@example.com,13878750773,/checkout,268,pageview,2026-02-04T09:46:00Z
u00081,user81@example.com,13862903724,/cart,72,click,2026-02-10T20:34:00Z
u00082,user82@example.com,13826326991,/profile,53,purchase,2026-02-19T02:05:00Z
u00083,user83@example.com,13824315359,/cart,290,click,2026-02-18T20:35:00Z
u00084,user84@example.com,13846671213,/home,95,click,2026-02-09T04:38:00Z
u00085,user85@example.com,13899529541,/home,287,purchase,2026-02-25T15:45:00Z
u00086,user86@example.com,13882946542,/profile,170,purchase,2026-02-08T23:49:00Z
u00087,user87@example.com,13858612504,/checkout,225,search,2026-02-17T13:52:00Z
u00088,user88@example.com,13877739455,/cart,104,purchase,2026-02-07T15:19:00Z
u00089,user89@example.com,13888153693,/products,18,pageview,2026-02-12T22:27:00Z
u00090,user90@example.com,13860742665,/profile,213,click,2026-02-26T19:40:00Z
u00091,user91@example.com,13887597886,/home,131,pageview,2026-02-01T02:48:00Z
u00092,user92@example.com,13838375926,/cart,32,purchase,2026-02-02T03:12:00Z
u00093,user93@example.com,13882766289,/profile,116,search,2026-02-12T10:45:00Z
u00094,user94@example.com,13837484033,/profile,125,pageview,2026-02-10T17:57:00Z
u00095,user95@example.com,13829481847,/products,139,purchase,2026-02-17T08:32:00Z
u00096,user96@example.com,13875017234,/products,113,purchase,2026-02-09T18:09:00Z
u00097,user97@example.com,13868250692,/home,238,click,2026-02-11T05:24:00Z
u00098,user98@example.com,13823043103,/checkout,84,search,2026-02-15T14:51:00Z
u00099,user99@example.com,13810731251,/profile,287,search,2026-02-01T22:41:00Z
u00100,user100@example.com,13889263404,/home,86,click,2026-02-01T05:06:00Z
u00101,user101@example.com,13859313861,/cart,65,search,2026-02-23T12:02:00Z
u00102,user102@example.com,13860418324,/checkout,177,purchase,2026-02-17T14:05:00Z
u00103,user103@example.com,13888657211,/profile,121,search,2026-02-17T03:43:00Z
u00104,user104@example.com,13829229701,/home,268,click,2026-02-28T21:02:00Z
u00105,user105@example.com,13843199132,/products,18,click,2026-02-05T08:42:00Z
u00106,user106@example.com,13829180664,/profile,212,pageview,2026-02-27T07:24:00Z
u00107,user107@example.com,13831185822,/cart,259,purchase,2026-02-12T00:42:00Z
u00108,user108@example.com,13820312963,/cart,230,purchase,2026-02-12T09:56:00Z
u00109,user109@example.com,13849453847,/cart,181,search,2026-02-22T04:50:00Z
u00110,user110@example.com,13872068251,/home,185,search,2026-02-12T14:57:00Z
u00111,user111@example.com,13874365086,/home,116,pageview,2026-02-15T12:12:00Z
u00112,user112@example.com,13867338433,/profile,84,pageview,2026-02-27T05:41:00Z
u00113,user113@example.com,13853410698,/cart,156,purchase,2026-02-21T11:04:00Z
u00114,user114@example.com,13881249484,/checkout,76,click,2026-02-26T21:54:00Z
u00115,user115@example.com,13881599801,/cart,253,purchase,2026-02-21T18:42:00Z
u00116,user116@example.com,13898783799,/profile,295,click,2026-02-04T23:17:00Z
u00117,user117@example.com,13839266842,/checkout,269,pageview,2026-02-19T22:12:00Z
u00118,user118@example.com,13824169137,/profile,105,search,2026-02-03T13:23:00Z
u00119,user119@example.com,13838069361,/checkout,220,purchase,2026-02-11T05:19:00Z
u00120,user120@example.com,13823121507,/profile,141,click,2026-02-10T18:13:00Z
u00121,user121@example.com,13862118459,/profile,241,purchase,2026-02-20T16:34:00Z
u00122,user122@example.com,13819620632,/checkout,106,search,2026-02-21T04:22:00Z
u00123,user123@example.com,13816135357,/cart,272,click,2026-02-15T09:05:00Z
u00124,user124@example.com,13810964624,/home,68,pageview,2026-02-27T06:32:00Z
u00125,user125@example.com,13826617392,/products,244,search,2026-02-13T02:02:00Z
u00126,user126@example.com,13855137320,/cart,140,pageview,2026-02-18T16:05:00Z
u00127,user127@example.com,13863217763,/checkout,187,click,2026-02-20T19:32:00Z
u00128,user128@example.com,13818988641,/cart,244,click,2026-02-01T22:55:00Z
u00129,user129@example.com,13892763223,/checkout,30,click,2026-02-23T16:13:00Z
u00130,user130@example.com,13897741930,/products,186,pageview,2026-02-03T18:52:00Z
u00131,user131@example.com,13867702691,/checkout,201,search,2026-02-08T16:47:00Z
u00132,user132@example.com,13851566011,/home,277,search,2026-02-15T12:29:00Z
u00133,user133@example.com,13873806286,/cart,253,pageview,2026-02-28T02:19:00Z
u00134,user134@example.com,13890715327,/home,270,click,2026-02-07T13:09:00Z
u00135,user135@example.com,13825239258,/home,201,pageview,2026-02-22T15:53:00Z
u00136,user136@example.com,13894516616,/checkout,101,purchase,2026-02-14T04:55:00Z
u00137,user137@example.com,13864476198,/checkout,259,click,2026-02-09T08:45:00Z
u00138,user138@example.com,13857390791,/checkout,90,search,2026-02-07T13:15:00Z
u00139,user139@example.com,13831800228,/checkout,43,purchase,2026-02-23T13:25:00Z
u00140,user140@example.com,13874596626,/profile,291,search,2026-02-09T12:19:00Z
u00141,user141@example.com,13867613187,/products,55,purchase,2026-02-04T01:45:00Z
u00142,user142@example.com,13863247904,/home,179,purchase,2026-02-09T22:08:00Z
u00143,user143@example.com,13813363954,/products,131,click,2026-02-23T14:45:00Z
u00144,user144@example.com,13873605259,/products,300,click,2026-02-18T07:47:00Z
u00145,user145@example.com,13891928639,/checkout,62,search,2026-02-19T00:00:00Z
u00146,user146@example.com,13854058960,/products,99,search,2026-02-21T15:01:00Z
u00147,user147@example.com,13891784527,/checkout,227,click,2026-02-01T19:08:00Z
u00148,user148@example.com,13853130283,/profile,266,search,2026-02-04T21:05:00Z
u00149,user149@example.com,13858685059,/cart,223,click,2026-02-21T09:34:00Z
u00150,user150@example.com,13876160909,/cart,146,click,2026-02-01T19:36:00Z
u00151,user151@example.com,13882316748,/home,49,search,2026-02-16T17:24:00Z
